,video_id,t1,t2,t3,t4,t5,t6,t7
182,hIBycJKS2EA,,,,,,,0.998991
183,jV9JOJKyPbM,,,,,,,0.99757326
184,pSdIA_0Hs6M,,,,,,,0.99794096
185,pXAslPBOjI0,,0.28933713,,,,0.1665255,0.54295754
186,fR69wvolLmw,,,,,,,0.9995276
187,xPKrE26sDiM,,0.059250966,,,,0.049937233,0.88939947
188,8zWH_cpmXNU,,0.4917834,,,,0.017270802,0.4899939
189,h-U0qDYMTKc,,,,,,,0.9931823
190,zgTAWbH7fNY,,,,,,,0.99813646
191,idEqGGs28uk,,0.18788938,,,,,0.80749464
192,jNnwccfwTCc,,0.19132924,,,,0.33845696,0.4685111
193,j0TVgxaLmhs,,,,,,,0.9988804
194,39YqCLYELnM,,,,,,,0.9964373
195,b_yIPq9V1SE,,,,,,,0.99843824
196,tkLIBCq5RZo,,,,,,,0.99547935
197,f_y2QKTP_YU,,,,,,,0.99848485
198,v2VTKCIMIQ8,,0.38047644,,,,0.1448185,0.4737763
199,87IV3CRihFI,,,,,,,0.9994613
200,y7KFPDLnikw,,,,,,,0.9969279
201,hFh8nrri0j8,,,,,,,0.9968069
202,hjWvjs2gSd8,,0.2921047,,,,0.37167662,0.3346554
203,F3wdXT6m_oo,,0.030862592,,,,0.14901932,0.81727016
204,C7fVjlIa3ms,,,,,,,0.99678254
205,rElngrMs2Z4,,0.24585626,,,,0.06407504,0.68852174
206,tIRzcfgIEIw,,,,,,,0.99953043
207,4SOv9guuGIw,,,,,,,0.9889538
208,oeUT1mPg21c,,0.04660611,,,,,0.9507837
209,ND__rDD7qwU,,0.03241501,,,,,0.96584773
210,yuNNmf2gIRc,,0.06498288,,,,,0.93371606
211,C7eTtMGz_to,,,0.032987222,,,,0.9640714
212,5xyGtOa_gy4,,0.07643523,,,,0.09152645,0.8280932
213,t1pJqIkLIeY,,0.5576922,,,,,0.44086415
214,9T7H4lmhwW4,,0.52243024,,,,,0.47448504
215,QWvXcyVQkeI,,0.6226042,,,,,0.37538528
216,OpnuDqYe1RE,,,,,,,0.99926275
217,g_NPDeYpof8,,,,,,,0.9974583
218,upK7ra7KoOM,,,,,,,0.9971745
219,GJleNSCdvWI,,,0.023592731,,,,0.9738782
220,RNzZCVcUKBo,,0.061563183,,,,0.05765431,0.8793624
221,nx5hMLukLg4,,,,,0.04473036,,0.95251447
222,U0mkb14EZ1o,,0.11801271,,,,0.08298896,0.7976491
223,H2gotB9Cb7A,,,,,,0.1164756,0.8757435
224,XS8KLSQgKGI,,0.032529444,,,,,0.96607816
225,i4WJDWF3x6g,,,,,,,0.99871224
226,GKa0XyGQ_Es,,0.23694351,,,,0.41096932,0.3510709
227,I1a3z9dP-Jk,,0.523409,,,,,0.4753087
228,GljeM32By6o,,0.5315608,,,,,0.4668413
229,savBW1zqgAU,,0.6023628,,,,,0.39539307
230,NPL_HbhiZhg,,,,,,,0.99401915
231,c5U35BRaKJM,,,,,,,0.99497867
232,rBU-UaUQHF0,,0.16939218,,,,0.20205906,0.6246305
233,3zPSz2dW_C8,,0.04296068,,,,,0.95580125
234,WcuZVGu7nKM,,0.2280164,,,,,0.7702875
235,Vkr8jk1rwmM,,,,,,,0.9961651
236,F_m_cJuBzRw,,,,,,,0.997138
237,ec2gslG_j-E,,,,,,,0.9971931
238,uKqx1-Dchpk,,0.14831902,,,,,0.8491145
239,FyXd6DbNT1o,,,,,,,0.9986403
240,O80BHQiqghY,,0.4827337,,,,,0.50754577
241,A3zhTLUJFIY,,,,,,,0.9981209
242,zaR8QJJfXOY,,0.01583325,,,,,0.98344743
